ID,ARTICULO,COD. PROV,COSTO,$ VENTA1,$ VENTA 2,MARCA,ITEM,Items,Stock,PROVEEDOR,NRO DE CLIENTE
7484,PIOLA PVC DE 18 MM,240090,1383.642,2075.0,2283.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-20.0,FERRETERA DEL NORTE,3600
7485,TIZA,,0.0,0.0,0.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-25.0,AAA VARIOS,3714
7486,PIOLA PVC DE 22 MM,240092,2136.486,3205.0,3525.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-15.6,FERRETERA DEL NORTE,3600
7487,TACO FISCHER SX 8 UNIDAD,282424,55.937,84.0,92.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,697.0,FERRETERA DEL NORTE,3600
7488,CABO P/MARTILLO GAPONERO,145012,1595.23,2393.0,2632.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,2.0,FERRETERA DEL NORTE,3600
7489,"PINZA METZ DE PUNTA 8""",14-10756,14009.446,21014.0,23116.0,MEZT,FERRETERIA,FERRETERIA,0.01,CONTAINER S.R.L.,3638
7490,MAZA DE 2 KG.,158042,19493.034,29240.0,32164.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,5.0,FERRETERA DEL NORTE,3600
7491,CEPILLO C/CABO PLASTICO BRONCE,255009,1363.211,2045.0,2249.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-1.0,CONTAINER S.R.L.,3638
7492,AZADA,241002,10574.059000000001,15861.0,17447.0,GHERARDI,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7493,ESCALERA PINTOR 16 PELDAÑOS PINO BRASIL,6140,397087.142,516213.0,567835.0,ESCALERA,FERRETERIA,FERRETERIA,0.0,H. J. HERRERA S.R.L.,3623
7494,TORNILLO ROSCA MADERA 18 X 25 P/CAJA,03-29015,1896.958,2845.0,3130.0,CAJA,TORNILLOS,TORNILLOS,0.0,CONTAINER S.R.L.,3638
7495,CERRADURA PRIVE 212 PUERTA CORR.,265015,23368.816,35053.0,38559.0,PRIVE,FERRETERIA,FERRETERIA,1.0,FERRETERA DEL NORTE,3600
7496,ESTAÑOLIN,03-30030,2560.348,3841.0,4225.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,32.0,CONTAINER S.R.L.,3638
7497,MENSULA CHAPA 150 X 200,360089,722.36,1084.0,1192.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,25.0,FERRETERA DEL NORTE,3600
7498,SOLDADOR C/MARTILLO,223009,28074.523,42112.0,46323.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7499,MENSULA CHAPA 250 X 300,02-28090,1523.7930000000001,2286.0,2514.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,14.0,CONTAINER S.R.L.,3638
7500,SOLDADOR P/ MEMBRANA GARR. 10 KG,223013,22031.777000000002,33048.0,36352.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7501,ZZPALA VIZCACHERA,175111,153885.952,230829.0,253912.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7502,TACHUELAS X 100 GR.,02-28250,22.038,33.0,36.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-3.0,CONTAINER S.R.L.,3638
7503,PISTOLA P/ PINTOR ALTA PRESION,7095,54930.721,82396.0,90636.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,0.0,BREMEN ARGENTINA S.A.,4335
7505,"TELA MOSQUITERA PVC DE 1,2 M",188033,2193.5950000000003,3290.0,3619.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-56.0,FERRETERA DEL NORTE,3600
7506,TALADRO B&D 550 W,,13880.939,17351.0,19086.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,AAA VARIOS,3714
7507,"DISCO DE CORTE 4,5"" X 1.2 BREMEN",7417,517.058,800.0,880.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,897.0,BREMEN ARGENTINA S.A.,4335
7509,HOJA DE SIERRA P/CALADORA C/U,5358,5337.3730000000005,8006.0,8807.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,10.0,BREMEN ARGENTINA S.A.,4335
7510,TELA MOSQUITERA METALICA DE 1.2 MT.,188029,5207.451,7811.0,8592.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,46.0,FERRETERA DEL NORTE,3600
7511,HOJA P/CALADORA JGO 10 PIEZA,,0.0,0.0,0.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,AAA VARIOS,3714
7512,TENAZA ARMADOR N 9 GHERARDI,160064,18703.32,28055.0,30860.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,5.0,FERRETERA DEL NORTE,3600
7513,"LIMA 1/2 CAÑA 8"" C/CABO ROJO",02-37927,12233.338,15903.0,17494.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,2.0,CONTAINER S.R.L.,3638
7514,TENAZA ARMADOR N 12 GHERARDI,160065,20287.2,30431.0,33474.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,2.0,FERRETERA DEL NORTE,3600
7515,ZZDESTORNILLADOR P/ELECTRONICA X 9 P.,B401,33917.458,47484.0,52233.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,EXTRA POWER,3702
